,Type,CompanyName,ServiceType,ServiceTypeDetail,ListDate,FiscalMonth,CEO,Location,CompanyCode
삼익THK,유가증권,삼익THK,일반 목적용 기계 제조업,"직선운동시스템,메카트로시스템,기타정밀 자동화기기 제조,판매/전자상거래,인터넷 관련 s/w,h/w 개발,판매,유지보수",1989-09-26,12월,"진영환, 전영배",대구광역시,4380
미원상사,유가증권,미원상사,기타 화학제품 제조업,"계면활성제,분황,황산,도료첨가제,프라스틱첨가제 제조",1989-09-25,12월,"조진욱, 훙창식",경기도,2840
서연,유가증권,서연,기타 금융업,"자동차부품(승용차내장품-도어트림,헤드라이닝,승용차시트) 제조,도매",1989-09-09,12월,유양석,경기도,7860
SBI인베스트먼트,코스닥,SBI인베스트먼트,신탁업 및 집합투자업,벤처캐피탈,1989-09-06,12월,"공동대표이사 이준효
공동대표이사 소우에이이치로",서울특별시,19550
세우글로벌,유가증권,세우글로벌,기타 전문 도매업,"화공약품.엔지니어링 플라스틱,페놀계제품,석유화학제품 판매/철재가구,사무목재가구 제조/교육사업",1989-09-05,12월,안백순,인천광역시,13000
현대모비스,유가증권,현대모비스,자동차 신품 부품 제조업,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",1989-09-05,12월,"정몽구, 정의선, 박정국",서울특별시,12330
메디파트너생명공학,유가증권,메디파트너생명공학,기타 사업지원 서비스업,상품권유통,1989-09-02,12월,"문정호, 김종민",서울특별시,15540
KG케미칼,유가증권,KG케미칼,기초 화학물질 제조업,"콘크리트혼화제, 비료, 친환경농자재, 수처리제",1989-08-25,12월,김경묵,울산광역시,1390
대우부품,유가증권,대우부품,자동차 신품 부품 제조업,"전해콘덴서,복합부품,전자튜너 제조",1989-08-25,12월,"서준교,서중호(각자 대표)",전라북도,9320
현대해상,유가증권,현대해상,보험업,손해보험(자동차보험),1989-08-25,12월,"이철영, 박찬종",서울특별시,1450
현대그린푸드,유가증권,현대그린푸드,종합 소매업,"백화점,여행알선,숙박,음식점/부동산 임대",1989-08-22,12월,"정지선, 박홍진(각자 대표이사)",경기도,5440
한국전력공사,유가증권,한국전력공사,전기업,"전력자원개발,발전,송전,전력용기자재확보",1989-08-10,12월,김종갑,전라남도,15760
국도화학,유가증권,국도화학,기초 화학물질 제조업,"에폭시수지,폴리아마이드수지,아염소산소다 제조,도소매",1989-08-05,12월,"이삼열, 이시창",서울특별시,7690
녹십자,유가증권,녹십자,의약품 제조업,"알부민외 제조,판매",1989-08-01,12월,허은철,경기도,6280
SIMPAC,유가증권,SIMPAC,특수 목적용 기계 제조업,"프레스,자동화장치,자동차부품 제조,도매",1989-07-29,12월,최진식,인천광역시,9160
윌비스,유가증권,윌비스,생활용품 도매업,"스웨터,니트,셔츠 도매,제조/컴퓨터주변기기 무역,오파,임대",1989-07-28,12월,"임찬혁(대표집행임원), 송주호(대표집행임원)",충청남도,8600
대창단조,유가증권,대창단조,자동차 신품 부품 제조업,"자동차,중장비 부품(크랭크샤프트,트랙링크조립체,커넥팅로드,중장비롤러류),기어,동력전달장치,단조가공품,단조품 제조",1989-07-25,12월,박권일,경상남도,15230
사조산업,유가증권,사조산업,어로 어업,"원양어업(참치,명태,오징어),육가공,참치통조림,장류 제조/냉동냉장 창고운영/부동산 임대/컴퓨터,소프트웨어 개발,도매/팝콘,구운김 도매",1989-07-25,12월,김정수,서울특별시,7160
한익스프레스,유가증권,한익스프레스,도로 화물 운송업,"특수화물 운송(유류,화학류,벌크제품 등),냉동차,탱크로리운송,복합운송 주선,임대,택배/특장차,중기 제조,판매",1989-07-25,12월,"이재헌, 이석환  (각자대표)",경기도,14130
사조동아원,유가증권,사조동아원,"곡물가공품, 전분 및 전분제품 제조업","제분, 배합사료 제조",1989-06-24,12월,"이인우, 노동환",서울특별시,8040
경인전자,유가증권,경인전자,전자부품 제조업,"스위치,리모콘,배선기구,섬머스타트,게임기,전자부품 제조,판매",1989-06-20,12월,김성은,서울특별시,9140
무림P&P,유가증권,무림P&P,"펄프, 종이 및 판지 제조업","표백화학펄프(B.K.P) 제조,목재가공,조림사업",1989-06-20,12월,김석만,울산광역시,9580
인디에프,유가증권,인디에프,봉제의복 제조업,"여성의류,남성의류,캐쥬얼웨어 제조",1989-06-20,12월,손수근,서울특별시,14990
한솔피엔에스,유가증권,한솔피엔에스,기타 전문 도매업,"정보시스템구축 및 유지보수, 포장재제조 및 가공, 지류가공 및 판매",1989-05-31,12월,강준석,서울특별시,10420
디와이,유가증권,디와이,기타 금융업,"자동차부품,유공압기기,소각로,자동세차기,하훼유통,발효기,모터 제조",1989-05-30,12월,김지현,인천광역시,13570
방림,유가증권,방림,직물직조 및 직물제품 제조업,"P/C혼방직물,면방적,각종사류,직물류 제조,도소매",1989-05-30,09월,서재희 대표집행임원,서울특별시,3610
큐로,유가증권,큐로,일반 목적용 기계 제조업,"열교환기,압력용기,저장탱크,산업용보일러 제조",1989-05-27,12월,서상훈,울산광역시,15590
한솔케미칼,유가증권,한솔케미칼,기초 화학물질 제조업,"과산화수소,라텍스,요소수지,수소액화탄산,차아황산소다 제조,판매,디지털카메라용 인화필름 제조,수출",1989-05-20,12월,박원환,서울특별시,14680
퍼스텍,유가증권,퍼스텍,무기 및 총포탄 제조업,"방위산업제품,프린터,불소화합물,자동차용 매트 제조/얼굴인식시스템 개발",1989-05-10,12월,"김용민, 손경석",경상남도,10820
엠벤처투자,코스닥,엠벤처투자,신탁업 및 집합투자업,벤처캐피탈,1989-03-14,12월,홍성혁,서울특별시,19590
제미니투자,코스닥,제미니투자,신탁업 및 집합투자업,금융투자,1989-03-14,03월,정진식,서울특별시,19570
동원산업,유가증권,동원산업,어로 어업,"원양어업,수산물가공(참치캔,맛김,어묵,맛살),도소매/음료사업(상쾌한아침)",1989-03-07,12월,이명우,서울특별시,6040
대덕전자,유가증권,대덕전자,전자부품 제조업,"산업용 인쇄회로기판,다층 인쇄회로기판,빌드업기판,반도체패키지기판,메모리모듈기판 제조",1989-01-26,12월,"김영재, 장홍은(각자대표)",경기도,8060
한성기업,유가증권,한성기업,수산물 가공 및 저장 처리업,"냉동식품,햄제품 제조,도매,보관/원양어업",1989-01-26,12월,"임우근,임준호(각자대표)",부산광역시,3680
모헨즈,코스닥,모헨즈,"시멘트, 석회, 플라스터 및 그 제품 제조업",레미콘,1989-01-05,12월,이기명,충청남도,6920
이스타코,유가증권,이스타코,부동산 임대 및 공급업,부동산 분양/입시학원 운영,1988-12-23,12월,김승제,서울특별시,15020
태림포장,유가증권,태림포장,"골판지, 종이 상자 및 종이용기 제조업","골판지,골판지상자,수출용박스 제조,도매/인쇄",1988-12-20,12월,김영식,경기도,11280
아세아제지,유가증권,아세아제지,"골판지, 종이 상자 및 종이용기 제조업","골판지원지,석고보드원지,크라프트원지,라이나원지,라이너지 제조,판매",1988-12-15,12월,이인범,서울특별시,2310
화천기계,유가증권,화천기계,특수 목적용 기계 제조업,"선반,밀링,연삭기,CNC선반,CNC밀링,머시닝센타 제조,판매/자동차부품(실린더블럭) 제조",1988-12-12,12월,"권영열, 권형석",서울특별시,10660
CJ씨푸드,유가증권,CJ씨푸드,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,"이인덕, 강연중(각자대표)",경기도,11150
신화실업,유가증권,신화실업,1차 철강 제조업,"석도강판,표면처리강판 제조,임가공,판매",1988-11-23,12월,신종호,경기도,1770
조일알미늄,유가증권,조일알미늄,1차 비철금속 제조업,"알루미늄판 제조,도매",1988-11-22,12월,이영호,경상북도,18470
에스엘,유가증권,에스엘,자동차 신품 부품 제조업,"자동차부품(자동차램프류,샤시와조향기기,케스터홀더) 제조",1988-11-08,12월,"이충곤,이성엽,김한영",대구광역시,5850
